model,seed,epoch,train_loss,train_acc,val_loss,val_acc
ViT,1,141,0.5281845056821429,0.7275,0.5938848871737719,0.674
ViT,1,142,0.5282332542396727,0.727,0.5938887670636177,0.672
ViT,1,143,0.5281454726817116,0.728,0.5938237998634577,0.672
ViT,1,144,0.5281165918660542,0.7285,0.5937946792691946,0.672
ViT,1,145,0.5280877105773442,0.728,0.593795582652092,0.672
ViT,1,146,0.528056863281462,0.729,0.5937750209122896,0.672
ViT,1,147,0.528054973908833,0.7285,0.5937830246984959,0.672
ViT,1,148,0.5280591689404988,0.7285,0.5937925595790148,0.672
ViT,1,149,0.5280587573846182,0.7285,0.5937929358333349,0.672
ViT,1,150,0.5280583013617803,0.7285,0.5937932170927525,0.672
ViT,2,1,0.6933239717332144,0.5,0.6930556111037731,0.5
ViT,2,2,0.6932830006357223,0.5,0.6930456534028053,0.5
ViT,2,3,0.6932389887552413,0.5,0.6930316314101219,0.5
ViT,2,4,0.6934058467547098,0.5,0.6931026168167591,0.5
ViT,2,5,0.6935585254714602,0.5,0.693197637796402,0.5
ViT,2,6,0.6933010447592962,0.5,0.6930501870810986,0.5
ViT,2,7,0.6932760145929124,0.5,0.6930365301668644,0.5
ViT,2,8,0.6933744313224913,0.5,0.6930836513638496,0.5
ViT,2,9,0.6935790086549426,0.5,0.6932061240077019,0.5
ViT,2,10,0.6932447524297805,0.5,0.6930053532123566,0.5
ViT,2,11,0.6932332317034403,0.5,0.6929983757436275,0.5
ViT,2,12,0.693311113213736,0.5,0.6930379495024681,0.5
ViT,2,13,0.6931825109890529,0.5,0.6929671689867973,0.5
ViT,2,14,0.6934264103571574,0.5,0.6931013464927673,0.5
ViT,2,15,0.6931098784719195,0.5,0.6929141245782375,0.5
ViT,2,16,0.6931663486692641,0.5,0.6929344236850739,0.5
ViT,2,17,0.6930911408530341,0.5,0.6928774230182171,0.5
ViT,2,18,0.692965272873167,0.5,0.6927928812801838,0.5
ViT,2,19,0.692922468223269,0.5,0.692746814340353,0.5
ViT,2,20,0.6927224955861531,0.5,0.6925997324287891,0.5
ViT,2,21,0.692519327950856,0.5,0.6924170665442944,0.5
ViT,2,22,0.6921909517712064,0.5,0.6921197846531868,0.5
ViT,2,23,0.691074998605819,0.5,0.6911594122648239,0.5
ViT,2,24,0.6891408534277053,0.5195,0.6892444267868996,0.516
ViT,2,25,0.6838718700030494,0.592,0.6836883947253227,0.564
ViT,2,26,0.6752938278137691,0.6045,0.6764359995722771,0.596
ViT,2,27,0.6683352258470323,0.6205,0.6701841540634632,0.6
ViT,2,28,0.6611957360827734,0.631,0.6635752879083157,0.594
ViT,2,29,0.6498875277382987,0.6345,0.6533830240368843,0.622
ViT,2,30,0.6416409687390403,0.643,0.6475286409258842,0.64
ViT,2,31,0.6362126450690012,0.647,0.6438033208251,0.638
ViT,2,32,0.629606444684286,0.665,0.6393322423100471,0.644
ViT,2,33,0.6258866077377683,0.6645,0.6386584267020226,0.644
ViT,2,34,0.6175512018657866,0.665,0.6340650804340839,0.644
ViT,2,35,0.6129747127729749,0.669,0.630780529230833,0.642
ViT,2,36,0.6097442649659657,0.671,0.6294779218733311,0.644
ViT,2,37,0.6082313032377333,0.6645,0.6298849619925022,0.64
ViT,2,38,0.605437089526464,0.673,0.6286308653652668,0.65
ViT,2,39,0.6026015802035256,0.682,0.6277863681316376,0.652
ViT,2,40,0.6019153916646564,0.6815,0.6266507133841515,0.654
ViT,2,41,0.5979801714420319,0.685,0.6273925639688969,0.658
ViT,2,42,0.594891523557996,0.6855,0.6252069398760796,0.658
ViT,2,43,0.5934029898000142,0.686,0.6265801973640919,0.656
ViT,2,44,0.5917530069275508,0.683,0.6241903118789196,0.654
ViT,2,45,0.5892944529889121,0.6865,0.6251141056418419,0.658
ViT,2,46,0.588272447150851,0.6895,0.6260896027088165,0.662
ViT,2,47,0.5872258889296699,0.693,0.6243040338158607,0.668
ViT,2,48,0.5865234642747849,0.686,0.6264400444924831,0.656
ViT,2,49,0.5829025298830063,0.686,0.6275671757757664,0.658
ViT,2,50,0.5816616709270175,0.6845,0.6294072307646275,0.66
ViT,2,51,0.5806705942229619,0.6865,0.6267239674925804,0.656
ViT,2,52,0.5795005564651792,0.69,0.6283115036785603,0.66
ViT,2,53,0.5775843721533579,0.687,0.6266391724348068,0.648
ViT,2,54,0.5750734238397508,0.689,0.6308320127427578,0.654
ViT,2,55,0.5744927516059269,0.6855,0.6337520629167557,0.654
ViT,2,56,0.572907441192203,0.6855,0.6329739168286324,0.648
ViT,2,57,0.5728137890497843,0.6905,0.6264077201485634,0.656
ViT,2,58,0.5718040007447439,0.6905,0.6318600177764893,0.656
ViT,2,59,0.5703192069416955,0.6825,0.6264622323215008,0.654
ViT,2,60,0.5695454946586064,0.692,0.622714065015316,0.664
ViT,2,61,0.5680896616171277,0.69,0.6266002021729946,0.662
ViT,2,62,0.5683058344182514,0.689,0.6274928227066994,0.652
ViT,2,63,0.5651093480132875,0.69,0.6289178654551506,0.664
ViT,2,64,0.5663049064931416,0.69,0.6277472451329231,0.658
ViT,2,65,0.5632241723083314,0.696,0.6277870126068592,0.658
ViT,2,66,0.5623911661761147,0.694,0.6257759518921375,0.66
ViT,2,67,0.5614043001144652,0.6945,0.6262057274580002,0.668
ViT,2,68,0.5606248208454677,0.696,0.6238416992127895,0.666
ViT,2,69,0.5597194319679624,0.694,0.6232646256685257,0.666
ViT,2,70,0.5582018395264944,0.6965,0.6246026419103146,0.668
ViT,2,71,0.5580739350545973,0.6995,0.6244056932628155,0.664
ViT,2,72,0.5568988299559033,0.7,0.6306525804102421,0.66
ViT,2,73,0.5563614642809308,0.697,0.6297435574233532,0.668
ViT,2,74,0.5559950877749731,0.701,0.6219578124582767,0.668
ViT,2,75,0.5553654389722007,0.7,0.6173008531332016,0.67
ViT,2,76,0.5530149387934852,0.7025,0.6240775883197784,0.666
ViT,2,77,0.5532319886343819,0.7025,0.6233810670673847,0.67
ViT,2,78,0.5526504828816369,0.705,0.623263381421566,0.67
ViT,2,79,0.5526705980300903,0.704,0.6228149905800819,0.666
ViT,2,80,0.5527723705957807,0.702,0.6196475550532341,0.666
ViT,2,81,0.5510010657802461,0.704,0.6193895116448402,0.668
ViT,2,82,0.5507536984625316,0.702,0.6213213913142681,0.666
ViT,2,83,0.5492988654545375,0.704,0.6243281476199627,0.672
ViT,2,84,0.5508973626863389,0.7015,0.6202518157660961,0.672
ViT,2,85,0.5494063245871711,0.7035,0.6182240806519985,0.68
ViT,2,86,0.5487257336813306,0.7055,0.6206094510853291,0.668
ViT,2,87,0.5473383556282709,0.704,0.6274217814207077,0.662
ViT,2,88,0.5478036517188662,0.706,0.6175975874066353,0.678
ViT,2,89,0.5460730720134008,0.707,0.6230559088289738,0.666
ViT,2,90,0.5463411817474971,0.709,0.6171661876142025,0.674
ViT,2,91,0.545600649383333,0.7095,0.6181080490350723,0.666
ViT,2,92,0.5471396682754396,0.705,0.6179885715246201,0.672
ViT,2,93,0.5457195956555624,0.7065,0.6195310167968273,0.672
ViT,2,94,0.5439857078923119,0.708,0.6258851028978825,0.668
ViT,2,95,0.544012431114439,0.705,0.6226856671273708,0.672
ViT,2,96,0.5434136925235628,0.7075,0.6246412470936775,0.666
ViT,2,97,0.5434204046688382,0.711,0.6184373609721661,0.676
ViT,2,98,0.5416526761319902,0.7095,0.6199697479605675,0.672
ViT,2,99,0.5414816240469614,0.7075,0.6201280876994133,0.666
ViT,2,100,0.5416596101389991,0.711,0.6184618510305882,0.67
ViT,2,101,0.5423890470512329,0.7085,0.6201068982481956,0.674
ViT,2,102,0.5429286876368145,0.7125,0.6192821711301804,0.676
ViT,2,103,0.5408034778776623,0.7145,0.6226321570575237,0.672
ViT,2,104,0.5402364631493887,0.7115,0.6198365017771721,0.672
